2017-06-22,6200.51,2319.3,168.81936708
2017-06-23,6187.88,2320.68,168.822432652
2017-06-26,6206.77,2321.93,168.825613031
2017-06-27,6196.4,2331.74,168.828446624
2017-06-28,6157.6,2327.62,168.831310562
2017-06-29,6128.27,2341.61,168.834604561
2017-06-30,6096.92,2324.06,168.837751623
2017-07-03,6150.6,2327.68,168.841075354
2017-07-04,6134.04,2320.89,168.843959469
2017-07-05,6142.68,2333.76,168.845711674
2017-07-06,6118.3,2329.3,168.847809354
2017-07-07,6129.67,2317.08,168.849760017
2017-07-10,6145.61,2329.22,168.852317817
2017-07-11,6112.02,2346.03,168.854990283
2017-07-12,6184.71,2334.78,168.857284968
2017-07-13,6181.81,2334.45,168.859232928
2017-07-14,6152.57,2343.64,168.861557305
2017-07-18,6162.44,2336.43,168.866141875
2017-07-19,6196.37,2338.44,168.868317795
2017-07-20,6243.87,2354.5,168.870262387
2017-07-21,6214.72,2350.15,168.872090996
2017-07-24,6152.03,2338.01,168.874034261
2017-07-25,6199.63,2331.53,168.875715096
2017-07-26,6214.23,2337.01,168.877657026
2017-07-27,6208.56,2345.77,168.87959829
2017-07-28,6146.3,2337.67,168.881099453
2017-07-31,6149.33,2333.91,168.88286168
2017-08-01,6192.42,2348.17,168.884769697
2017-08-02,6182.21,2356.65,168.886708243
2017-08-03,6242.01,2355.84,168.888646124
2017-08-04,6272.87,2352.42,168.890436823
2017-08-07,6289.76,2363.7,168.892908678
2017-08-08,6298.77,2358.02,168.895536038
2017-08-09,6261.47,2332.89,168.897984854
2017-08-10,6204.63,2331.96,168.900610753
2017-08-14,6174.36,2305.73,168.905829071
2017-08-15,6199.51,2330.45,168.908306225
2017-08-16,6240.81,2330.19,168.910897877
2017-08-17,6210.91,2328.5,168.913520143
2017-08-18,6157.2,2303.31,168.91593235
2017-08-21,6152.91,2300.19,168.918521759
2017-08-22,6205.76,2301.53,168.921257035
2017-08-23,6206.53,2307.19,168.923960173
2017-08-24,6229.0,2295.88,168.92654735
2017-08-25,6224.28,2302.79,168.929070911
2017-08-29,6170.44,2304.47,168.934618526
2017-08-30,6193.84,2318.72,168.937202696
2017-08-31,6249.85,2332.8,168.939901304
2017-09-01,6256.47,2335.94,168.942483978
2017-09-04,6233.74,2312.81,168.945201719
2017-09-05,6201.31,2294.3,168.947898025
2017-09-06,6185.51,2296.16,168.950478412
2017-09-07,6226.89,2305.19,168.953319925
2017-09-08,6210.57,2298.43,168.955835698
2017-09-11,6240.87,2325.43,168.958560555
2017-09-12,6230.02,2347.34,168.961399829
2017-09-13,6212.34,2361.59,168.964238366
2017-09-14,6141.37,2354.07,168.967076165
2017-09-15,6074.09,2363.94,168.970059986
